Date,nps,text,nps_scaled,label,Coincide
03/01/2023,8,No me dio la opción de pago a meses sin intereses,4,1,False
03/01/2023,6,"muy tardado, no me llega la confirmación vía correo",3,1,False
03/01/2023,8,"Que los precios no sean tan caros, eso atraeria mas clientes mas que presentacion del avion, de la pagina web, la comodidad del Aeropuerto etc. etc.",4,3,False
03/01/2023,2,"Me estas mandando el NPS cuando todavía ni siquiera termino la compra, pesima experiencia de encuestas.",1,1,True
03/01/2023,0,no pude pagar,1,1,True
03/01/2023,5,cambian los precios casi por pagar,2,2,True
03/01/2023,8,Sean claros en costos y bajar los costos de la asignación de asientos,4,3,False
03/01/2023,0,Esta horrible su pagina y esta muy revuelta,1,1,True
03/01/2023,6,BAJEN PRECIOS,3,5,False
03/01/2023,8,es confusa,4,3,False
03/01/2023,6,kkkkkk,3,3,True
03/01/2023,0,deberian hacerla mas amigable,1,3,False
03/01/2023,8,permitir selección de asientos sin cargo,4,4,True
03/01/2023,8,x,4,5,False
03/01/2023,6,costos elevados,3,2,False
03/01/2023,6,bajar los precios.  hay veses que es emergencia y los precios son elevados. y tenemos que pagar hasta por los asientos.,3,2,False
03/01/2023,8,GOOD SERVICE,4,4,True
03/01/2023,8,no elevar tanto los precios,4,2,False
03/01/2023,8,si esta bien,4,3,False
03/01/2023,7,Que coloquen el total del costo del boleto ya que al momento de cotizar te sale una cantidad y al momento de pagar aumenta.,4,2,False
03/01/2023,7,"Reducir la visibilidad de extras y NO obligar a aceptar un cargo no solicitado (reembolso total), en el paso final.",4,1,False
03/01/2023,1,"No puedo canjear mis puntos doters, en la página de Doters me aparece que tengo 69,000 pero cuando entro a mi cuenta doters-vivaaerobus me aparecen cero puntos.",1,1,True
03/01/2023,7,"Que desde un principio te muestre todos los costos, asientos, seguros, etc",4,5,False
03/01/2023,5,No pongan tantas trampas para hacer cargos extras que no son realmente necesarios.,2,2,True
03/01/2023,8,la publicidad me confunde un poco,4,3,False
03/01/2023,5,"MUCHIOS GASTOS OCULTOS, ENGAÑOSOS",2,1,False
03/01/2023,0,dar a concer el pago desl impuesto desde la compra,1,1,True
03/01/2023,8,NO PRECARGANDO CARGOS ADICIONALES DE SEGUROS Y EXTRAS,4,1,False
03/01/2023,7,"Que aparezca el calendario con los precios, desde un inicio. 
Poder declinar los Adicionales.",4,4,True
03/01/2023,7,"La página se vuelve un poco confusa, en caso de que alguna persona mayor quisiera utilizarla sería complicado para ella",4,3,False
03/01/2023,8,buena,4,4,True
03/01/2023,7,"Me molesta en gran manera que traten de venderme absolutamente todo!!...desde el cobro de equipaje, selección de asientos, seguro de reserva...TODO!!! Es realmente molesto!!",4,1,False
03/01/2023,5,muy tardado,2,2,True
03/01/2023,7,No cobrar todo por aparte,4,1,False
03/01/2023,5,hice reservaciones para 2 personas y solo necesitaba en un pasajero una maleta de 15 kilos. Pero el sistema no me dejaba agregar 1 maleta para un solo pasajero. Me la agrego para los dos pasajeros.,2,2,True
03/01/2023,5,"Al ser rechazada mi forma de pago, me vi forzada a buscar el mismo vuelo desde una página incógnito, en la cual le subieron $75 mxn al costo del vuelo. Pésimo eso.",2,1,False
03/01/2023,7,"Intente pagar 4 reservaciones, al momento de pagar no me permitia realizar el pago, marcaba un error en los montos, ""los montos no coinciden"".",4,1,False
03/01/2023,8,"Los precios aparentemente son muy económicos, pero al finalziar la reserva suben mucho.",4,3,False
03/01/2023,8,Me perdió la selección de vuelos cuando cree la nueva cuenta,4,2,False
03/01/2023,8,na,4,3,False
03/01/2023,5,vuelos multidestino,2,4,False
03/01/2023,8,las tarifas son engañosas ya que hay muchos servicios innecesarios,4,1,False
03/01/2023,0,"NO PUDE REALIZAR EL PAGO DE MIS TIQUETES, PONIA EL CODIGO DE TRES DIGITOS DE MI TARJETA Y LO BORRABA.",1,1,True
03/01/2023,7,en poner el verdadero precio en la selección de asientos; no que +$22 se convierte en +$230 cuando lo seleccionas.,4,5,False
03/01/2023,7,Tratan de inserterte muchos gastos extras,4,5,False
03/01/2023,8,Podría ser menos complicado la reservación,4,3,False
03/01/2023,7,No pude pagar en la aplicacion,4,1,False
03/01/2023,4,Dejen de ofrecer servicios insolicitados,2,1,False
03/01/2023,5,"hay cosas que no son tan visibles, omitir pasos que no son tan necesarios",2,2,True
03/01/2023,4,hidden fee,2,1,False
03/01/2023,5,SIN HACER CARGOS ADICIONALES QUE YO NO ESCOGI.....COMO EL DEL REEMBOLS,2,1,False
03/01/2023,8,servicio al abordaje,4,4,True
03/01/2023,7,Esperé demasiado a cargar la página y tuve que cambiar método de pago,4,2,False
03/01/2023,7,SI,4,3,False
03/01/2023,8,No agreguen Total reembolso automaticamente.  Dejenme seleccionarlo como todo lo demás.,4,1,False
03/01/2023,8,La pagina y aplicacion por telefono no me dejaban pagar,4,1,False
03/01/2023,5,demoran sus vuelos mucho de resto todo bien,2,4,False
03/01/2023,8,no respeta coompras anteriores y va subiendo de precio cada consulta,4,1,False
03/01/2023,8,HACER UNA PAGUINA CON MENOS OPCIONES,4,1,False
03/01/2023,7,NO SE,4,1,False
03/01/2023,7,Incrementar opciones en cada area,4,5,False
03/01/2023,7,la claridad de la info de pago,4,5,False
03/01/2023,7,dar mejor atención a clientes frecuentes ya que la atención no es la mejor para los vuelos,4,3,False
03/01/2023,7,"Quitar tantos botones de pagos adicionales y no confundir al cliente.
¨Favor de indicar que cuando es Tarifa Zero el checkin es al mismo dia, casi una hora antes de abordar.",4,1,False
03/01/2023,8,...,4,3,False
03/01/2023,7,ME SACO CUANDO YA ESTABA A PUNTO DE PAGAR,4,1,False
03/01/2023,5,Esta es la  segunda vez que que tengo que recurrir a pagar en el Oxxo por que no acepta mi tarjeta de debito.,2,1,False
03/01/2023,0,una pesima experiencia.,1,1,True
03/01/2023,8,"Si,  haciendo paquetes de vuelo, que incluya lo esencial",4,3,False
03/01/2023,7,hacerla mas amigable,4,5,False
03/01/2023,4,NO SUBIENDO PRCIOS DE MOMENTO,2,1,False
03/01/2023,2,el formato no es logico y ademas te orilla a que compres mas productos,1,2,False
03/01/2023,5,NO DA PRECIO FINAL CAMBIA A CADA RATO,2,1,False
03/01/2023,0,No me dejo realizar el pago,1,1,True
03/01/2023,0,solo me dejaban pagar si ponia el seguro del vuelo,1,1,True
03/01/2023,8,PIDEN MUCHOS PASOS Y SE VA INCREMENTANDO EL PRECIO MUCHO EN COMPARACION CON LO QUE OFRECEN DE UN INICIO,4,5,False
03/01/2023,3,NO COBRANDO CONCEPTOS ABSURDOS. TODO QUIEREN COBRAR HSDPTM,2,1,False
03/01/2023,0,Way to much extra charges and try to get me to buy more.,1,5,False
03/01/2023,8,"MENOS OPCIONES, MÁS RAPIDO SABER EL TOTAL A PAGAR",4,1,False
28/02/2023,8,DAR INFORMACION MAS CLARA,4,3,False
28/02/2023,6,"Marca error con tarjetas de crédito, arroja que los datos son incorrectos",3,1,False
28/02/2023,7,"De repente me molesto no saber el cargo del rembolso que me incluyeron, hasta que vi el porque. Me hubiera gustado que me avisaran antes de cargarlo.",4,2,False
28/02/2023,5,NO AUMENTANDO PRECIOS,2,3,False
28/02/2023,6,LOS COSTOS SON TOTALMENTE DISTINTOS,3,2,False
28/02/2023,7,SIMPLIFICAR LA CANTIDAD DE INFORMACION E IMAGENES,4,4,True
28/02/2023,8,MEJORAR LA REVISOON DE ASIENTOS DISPONIBLES ANTES DE LA RESERVA,4,4,True
28/02/2023,0,falla en el pago de tarjeta de credito para promocion a meses sin intereses,1,1,True
28/02/2023,8,Haciendo más claro el proceso de reservación,4,4,True
28/02/2023,8,me mandan encuesta antes de terminar,4,1,False
28/02/2023,3,ES UN PROBLEMA PARA REALIZAR LOS PAGOS,2,2,True
28/02/2023,7,NO PONER SERVICIOS COMO EL TRANSFER AUTOMATICO,4,1,False
28/02/2023,0,pagina engañosa,1,1,True
28/02/2023,5,respetando los precios dichos al iniciar la compra,2,5,False
28/02/2023,8,"ser más específicos en los costos adicionales, todo lo demás excelente.",4,4,True
28/02/2023,8,promociones MSI,4,4,True
28/02/2023,7,En la tarifa que cotizan deberían mostré con el TU A incluido.,4,3,False
28/02/2023,8,"Son muchas preguntas, deberian de hacerlas todas en una sola ventana",4,2,False
28/02/2023,3,LOS ASIENTOS NO DEBERÍAN DE TENER TODOS UN COSTO EXTRA,2,2,True
28/02/2023,5,TRAMPOSOS.,2,5,False
28/02/2023,4,NO ME DEJA REALIZAR MI PAGO EN LÍNEA Y CREO QUE NO DEBIERON HABER QUITADO LOS PAGOS DIFERIDOS CON OTRAS TARJETAS DE CRÉDITO,2,1,False
28/02/2023,5,Sin tantos cobros escondidos como son asiento y pista de aterrizaje,2,2,True
28/02/2023,7,A veces se trababa la página,4,2,False
28/02/2023,7,son demasiadas preguntas y decisiones,4,3,False
28/02/2023,7,"MENOS TRAMITES, MÁS RAPIDEZ",4,2,False
28/02/2023,0,no hacer todo tan dificil y tratando de cobrar qualquier cosa,1,1,True
28/02/2023,8,LA APP UN POCO COMPLICADA,4,3,False
28/02/2023,7,No tienen descuento de adulto mayor,4,2,False
28/02/2023,8,V,4,5,False
28/02/2023,6,.,3,3,True
28/02/2023,4,HACERLA MAS AMIGABLE,2,5,False
28/02/2023,8,.,4,3,False
28/02/2023,8,queremos um acesso a cia que es top! jander@triponline.tur.br,4,5,False
28/02/2023,4,se trabo a la hora de registrar los datos de mi tarjeta y el precio incremento demasiado de un dia a otro,2,2,True
28/02/2023,3,"INCLUIR MENOS COSTOS, COBRAN ASIENTOS",2,2,True
28/02/2023,0,muy mal servicio para forma de pagos,1,1,True
28/02/2023,7,Más claridad en el proceso de compra,4,5,False
28/02/2023,8,precios,4,5,False
28/02/2023,5,"resolviendo el problema que tienen para iniciar sesion en usuario, yo ya tengo uno creado con mi correo pero fue imposible acceder, intente durante semanas y siempre da el mismo puto error, les mande un correo a su soport y no contestan, basicamente no les interesa. Si su sistema de puntos funciona por favor agreguen este vuelo a mi cuenta! gracias!",2,1,False
28/02/2023,8,Muchos precios agregados,4,5,False
28/02/2023,6,No añadir costos si el cliente no los seleccionó,3,1,False
28/02/2023,8,EL SISTEMA NO ES AMIGABLE CON LA DEFINICIÓN DE LAS FECHAS,4,2,False
28/02/2023,3,esta muy complicada la pagina,2,2,True
28/02/2023,0,no da informacion bien  y no deja pagar,1,1,True
28/02/2023,5,Mejores precios en TUA por que el vuelo muy barato pero el impuesto carísimo.. sale lo mismo,2,3,False
28/02/2023,2,"Hay mucha discrepancia en los precios, sale mejor incluir el vuelo con el TUA",1,3,False
28/02/2023,5,"Muy lento
Muchos cargos extras, es mejor mostrar el valor total del boleto incluido el TUA",2,1,False
28/02/2023,0,no processa las transactiones,1,1,True
28/02/2023,5,te agregan muchas cosas inservibles,2,1,False
28/02/2023,7,La compra se realiza en demasiados pasos. Sería más práctico que todo viniera desglosado en la misma página,4,2,False
28/02/2023,3,No hay sistema parta pago con tarjetas,2,1,False
28/02/2023,7,CONCENTRANDO  EL PAGO,4,4,True
28/02/2023,7,a,4,4,True
28/02/2023,7,Aumentan costos por cada selección,4,3,False
28/02/2023,8,"mas claro aggregando la TUA, calendario de precio mas claros",4,3,False
28/02/2023,8,Me gustaría agregar todo individualmente y no por grupo,4,3,False
28/02/2023,8,experiencia del usuario,4,4,True
28/02/2023,8,"Intentan vender hasta Alka Seltzer y curitas en este proceso, lo que lo conviente en muchos pasos, podrían omitir uno de ellos para agilizar la compra",4,3,False
28/02/2023,0,No me deja pagar!!!,1,1,True
28/02/2023,7,ser mas directos demaciadas opciones,4,2,False
28/02/2023,0,no pude hacer mi reservacion con mi tarjeta,1,1,True
28/02/2023,3,Demasiadas opciones de engaño.,2,2,True
28/02/2023,8,Precios,4,5,False
28/02/2023,6,"Antes incluian una maleta documentada en Light, no me gusto ese cambio y tampoco que tratan de agregar el cobro para refund del vuelo y tenemos que quitarlo manualmente, eso nunca nos ha gustado de su pagina.",3,1,False
28/02/2023,0,No pude pagar con mi tarjeta viva plus,1,1,True
28/02/2023,8,EN LOS VUELOS REDONDOS NO ES NECESARIO DOCUMENTAR EN AMBOS VIAJES LAS MALETAS,4,2,False
28/02/2023,8,sip,4,3,False
28/02/2023,3,Dando los precios con Tua desde el principio,2,5,False
28/02/2023,8,bajar el TUA y no deberian cobrar los asientos,4,1,False
28/02/2023,0,terrible. no sirve cuando pago con mi carta de crédito.,1,1,True
28/02/2023,8,"Me gusta, pero le agregan a uno adicionales que uno nunca eligió y es difícil darse cuenta, parece un poco engañoso",4,3,False
28/02/2023,0,Muy confuso todas las opcione que venden adicional,1,1,True
28/02/2023,8,"El ""reembolso total"" no debería agregarse automáticamente, más si solo cubre los eventos mencionados. Me gustaría poder adquirirlo si solamente ""ya no quiero viajar""",4,2,False
28/02/2023,8,Costo excesivo de  seleccion de asientos,4,2,False
28/02/2023,8,MUCHOS AGREGAR,4,3,False
28/02/2023,8,Costos totales desde el inicio de la compra,4,1,False
28/02/2023,0,"La pagina no funciona, no se puede pagar con tarjeta",1,1,True
28/02/2023,5,ES MUY CONFUSA LA PAGINA,2,2,True
28/02/2023,7,"Está traqueada la tarifa , cada vez agregan mesa cosas. Al principio me hicieron creer que la tarifa era con impuestos, que era total y luego me aumentaron el impuesto de aeropuerto; de 3 mil y feria me salió en el doble.",4,1,False
28/02/2023,8,Servicios dentro del avión.,4,4,True
28/02/2023,5,Se trabó mucho durante el proceso,2,2,True
28/02/2023,7,Omisiones que hace la aerolinea.,4,1,False
28/02/2023,5,Con tantas opciones de adicionales suele hacer tedioso el proceso.,2,2,True
28/02/2023,5,Problemas para pagar la reservación.,2,2,True
28/02/2023,7,impusieron una compra de maleta y no hubo forma de quitarla,4,1,False
28/02/2023,7,confusion con pagos y promocion de pagos a credito,4,1,False
28/02/2023,2,Los costos no son claros y al final te dice que el costo que apareció ya no esta vigente. Esto es muy engañoso,1,1,True
28/02/2023,0,No he podido hacer la compra después de una infinidad de intentos. Llamé a VivaAerobus y me dijeron que era que el banco la estaba declinando. Llamé al banco y ellos me dijeron que no había habido intento de compra. Qué eestá pasando?,1,1,True
28/02/2023,8,todo bien,4,5,False
28/02/2023,8,Tiene temas de UX por resolver.,4,3,False
28/02/2023,5,Una página más amigable y clara con las rutas a seguir y donde se encuentra cada cosa.,2,4,False
28/02/2023,4,"tarda mucho tiempo en cargar, no deja realizar pagos con tarjetas digitales BBVA",2,2,True
28/02/2023,0,NUNCA,1,1,True
