Button name,Rating,text,Date,Page Load Time,ID,feedback_type,¿Qué te gustaría compartir con nosotros?,basket_id,motivo_visita,share_data,error_type,label,Coincide
Doters,1,Porque me inscribí y aparece un no ver qué no puse??,2023-04-13 15:38:45,4.0,6438684c4e609416265a00d2,general,Nada,False,Unknown,False,Unknown,1,True
Desktop New Site,2,Como hacer una reservación ???,2023-04-13 15:34:34,1.0,6438674f4bc597141e1fa44b,general,Comentario general,True,book_flight,True,Unknown,1,False
Desktop New Site,2,"se quedo en ""cargando"" información del pasajero",2023-04-13 15:21:03,4.0,64386424b082ae6311679d33,error,Errores o problemas en la página,True,book_flight,False,website_not_loading,1,False
Desktop New Site,1,NO ME PERMITE FACTURAR,2023-04-13 14:47:51,0.0,64385c5418565b593924bc97,error,Errores o problemas en la página,True,search_info,True,invoice,1,True
Desktop New Site,4,mauro,2023-04-13 14:42:00,3.0,64385afc146d2374dd64b00e,compliment,Felicitación,True,book_flight,True,Unknown,3,False
Desktop New Site,1,"He solicitado factura de un vuelo anterior que debo ya presentar en finanzas y no me ha sido posible ni conseguir hablar con ustedes, la solicité vía correo y solo me enviaron una de 100 pesos cobro por un cambio que hice. y ahora de mi nuevo viaje la quiero solictar y llevo más de 20 minutos esperando en línea y no hay opción especifica en su menú para facturar.",2023-04-13 14:04:04,2.0,643850f6fe76111afa7c6ebf,error,Errores o problemas en la página,True,book_flight,True,invoice,1,True
Desktop New Site,5,"todo muy entendible en la pagina de reservación, muchas gracias. ",2023-04-13 13:52:57,4.0,64384e5ca327737420287067,compliment,Felicitación,True,book_flight,False,Unknown,5,True
Desktop New Site,1,"Cargan de manera automática sin explicar el Adicional ""Reembolso Total"" de $181.58 ¿Po qué?",2023-04-13 13:07:59,1.0,643844e1a9396a270a58cd2e,error,Errores o problemas en la página,True,quote_flight,True,booking_issues,1,True
Desktop New Site,1,"NO TE DESGLOZA TODOS LOS CARGOS CUANDO HACES CAMBIOS, AL FINAL TERMINAS PAGANDO EL DOBLE, PESIMO SERVICIO!!",2023-04-13 13:06:36,2.0,64384492892f6e099b04b019,error,Errores o problemas en la página,True,change_booking,True,payment_issues,1,True
Desktop New Site,1,"He intentado por más de 10 horas resolver una duda sobre una reservación de un vuelo que tengo con ustedes, que fue comprado en IBERIA y que el tramo guadalajara méxico es con viva aerobus.  Además del tiempo, no hay forma de que alguien atienda.  Esperé 50 minutos al teléfono y cuando contestaron colgaron Su chat no resuelve nada, incluso cuando uno quiere hablar con un asesor En su página de FB, en el messenger, tengo una respuesta pero no hay forma de que uno pueda entablar una conversación con alguien NO HAY FORMA DE HABLAR y todavía dicen que es un placer atendernos???",2023-04-13 12:52:18,0.0,643841439b65150ed16bc993,general,Comentario general,True,flight_status,True,Unknown,1,True
Desktop New Site,2,NO HE PODIDO FACTURAR NINGUNO DE LOS BOLETOS DEL MES EN CURSO FAVOR DE SOLUCIONARLO,2023-04-13 12:11:56,5.0,643837cae63bfc4df61b4329,error,Errores o problemas en la página,True,search_info,True,invoice,1,False
Desktop New Site,1,"estoy en completo desacuerdo con que se me cobre de manera obligatoria el reembolso total, no lo solicite y no quiero pagarlo",2023-04-13 12:02:17,0.0,6438357ddea4dd155f105a9f,general,Comentario general,True,book_flight,False,Unknown,1,True
Desktop New Site,3,NO FUNCIONA LA PAGINA DE FACTURACION,2023-04-13 11:53:29,0.0,6438337ccc1c031e973ca267,suggestion,Sugerencias o ideas,True,book_flight,True,Unknown,1,False
Desktop New Site,3,"Aparece un adicional que se llama reembolso Total y no lo puedo quitar.  Necesito saber primero que es y, si no me interesa, poder retirarlo",2023-04-13 11:36:30,0.0,64382f7369ac6e382459e170,error,Errores o problemas en la página,True,book_flight,True,booking_issues,1,False
Desktop New Site,1,No puedo quitar este cargo adicional,2023-04-13 10:10:33,0.0,64381b4bd9eb3936bf4b658c,general,Comentario general,True,book_flight,True,Unknown,1,True
Desktop New Site,2,"Aparece el cuadro de dialogo de la TUA, se le da click en agregar o en más tarde y no se quita.",2023-04-13 03:53:40,1.0,6437c2fa7400913dc35846c7,error,Errores o problemas en la página,True,quote_flight,False,booking_issues,1,False
Desktop New Site,3,TENGO UNA INQUIETUD ,2023-04-13 02:30:10,0.0,6437af27bf19df1e2d49e91a,suggestion,Sugerencias o ideas,True,flight_status,True,Unknown,5,False
Desktop New Site,2,NO ME PERMITE PAGAR... LO HE INTENTADO CON MIS TARJETA CREDITO Y DEBITO Y NO ME DEJA HACER LA COMPRA.. TAMPOCO ME PERMITE HACERLA CON OTRA FORMA DE PAGO,2023-04-12 23:11:37,1.0,643780de0fd6d3344a49885a,error,Errores o problemas en la página,True,book_flight,True,payment_issues,1,False
Doters,1,No carga la página y no deja envíar,2023-04-12 22:11:57,2.0,643772f55dc98a5f76705d9b,error,Nada,False,Unknown,False,Unknown,1,True
Desktop New Site,2,no puedo ver importe total y final,2023-04-12 22:07:10,0.0,643771ca70f31b0f731b7b7a,general,Comentario general,True,quote_flight,True,Unknown,1,False
Desktop New Site,1,Su espacio en línea de facturación no ha estado disponible el día de hoy. ¿Cuándo podré facturar mis boletos?,2023-04-12 21:04:47,0.0,64376333fecd5d6e5637be9e,error,Errores o problemas en la página,True,search_info,True,invoice,1,True
Desktop New Site,1,estoy llamando a la aerolinea y llevo mas de dos horas y no me contestan es en relacion de que viajan dos menores uno de 17 y otro de 12 años y cuales son los requisitos ,2023-04-12 20:43:35,0.0,64375e2f3b194f41856feed1,general,Comentario general,True,book_flight,True,Unknown,1,True
Desktop New Site,1,"Son una basura de compañía obligando a tener adicionales, no lo necesito y no lo deseo y aun asi no me deja quitarlo su pagina y por ende debo pagarlo, que mierda de compañía son",2023-04-12 20:20:23,0.0,643758bd0f0d7f399a33dfed,general,Comentario general,True,book_flight,True,Unknown,1,True
Doters,1,"Cambie la contraseña pero no me deja entrar, esta pesimo",2023-04-12 20:18:48,0.0,64375870fecd5d6e5637be37,error,Nada,False,Unknown,False,Unknown,1,True
Doters,5,1473470,2023-04-12 20:15:28,2.0,643757a944844d1185161782,Unknown,Nada,False,Unknown,False,Unknown,5,True
Doters,5,1473470,2023-04-12 20:14:48,2.0,643757807a2c921c791a7f9f,Unknown,Nada,False,Unknown,False,Unknown,5,True
Doters,5,1473470,2023-04-12 20:04:57,2.0,643755316e03673ca70c0f64,Unknown,Nada,False,Unknown,False,Unknown,5,True
Doters,5,63100909M500,2023-04-12 19:30:53,3.0,64374d341f16802eec36ae64,Unknown,Nada,False,Unknown,False,Unknown,5,True
Doters,3,Un poco complejo ,2023-04-12 18:46:04,5.0,643742ac41cd6d333c6580cd,compliment,Nada,False,Unknown,False,Unknown,3,True
