Date,nps,Comments,nps_scaled
2023-01-03,6,No hay claridad en la pagina. Las opciones están muy revuletas y en desorden. No es fácil,3
2023-01-03,1,no cobrando doblemente la seleccion de asientos al cambiar de itinerario,0
2023-02-28,6,NO ES CLARO.,3
2023-02-28,7,SON DEMASIADOS CARGOS ADICIONALES,4
2023-02-28,0,"El equipaje de la tarifa smart ya estaba pagado, y al hacer el cambio de nombre ademas de ese cargo vuelven a cobrar el equipaje, eso es robo",0
2023-02-28,8,no agregando las cosas automáticamente y eliminando el costo por selección de asiento,4
2023-02-28,8,Es importante que cuando ya se pagaron ciertos servicios con anterioridad sea claro que los mismos servicios se trasladan a la nueva reservacion.,4
2023-02-28,0,como no puedo cambiar porque me rquivoque en una letra el nombre y es muy caro el error,0
2023-02-28,8,NADIE ES PERFECTO,4
2023-02-28,1,Ya tenia un asiento asignado y tramposamente lo cambian para que tenga uno que pagar,0
2023-02-28,0,"No puede ser posible que un cambio de vuelos cueste carísimo y por llamada más, en verdad no puede ser, no recomiendo nada esta aerolínea",0
2023-02-28,0,"no estoy contenta hacen los cambio si avisar, y despues cobran
la peor aerolina que he viajado
esto me respeten mis horarios",0
2023-02-28,6,No option to see the site in English,3
2023-02-28,0,NO SE ENTIENDE,0
2023-02-28,5,Los costos no son claros,2
2023-02-28,1,Todo,0
2023-02-28,8,Hay problemas al seleccionar los asientos,4
2023-02-27,6,MUY CARO ASIENTO,3
2023-02-27,8,mas claros en su informacion,4
2023-02-27,8,mas información sobre temas de equipaje. tipos de equipaje no permitidos etc...,4
2023-02-27,0,Politica de cancelación,0
2023-02-27,8,No exagerando el costo de los cambios realizados,4
2023-02-27,0,NO ME RESPETARON EL CAMBIO Y ME HICIERON EL COBRO TOTAL,0
2023-02-27,6,te dice que no hay cobro por camnio y al final si te cobran,3
2023-02-27,0,Me confundí y pagué más por que por alguna razón te preguntan que si el TUA lo quieres pagar después ¿Para qué lo pagaría después? Cobrenme todo junto y listo,0
2023-02-27,8,"Que sean un poco mas claras las cosas
No supe como agregar 5 kg extras al equipaje de mano",4
2023-02-27,2,cobraron algo con bajo un concepto nada solido,1
